loan_number,amount_borrowed,term,borrower_rate,installment,grade,origination_date,listing_title,principal_balance,principal_paid,interest_paid,late_fees_paid,debt_sale_proceeds_received,last_payment_date,next_payment_due_date,days_past_due,loan_status_description,data_source
10149342,27050,36,0.1099,885.46,B,2013-12-01T00:00,debt_consolidation,0,27050,4702.53,0,0,2016-07-01T00:00,2016-08-01T00:00,0,COMPLETED,Lending Club
10149488,4800,36,0.1099,157.13,B,2013-12-01T00:00,home_improvement,0,4800,357.52,0,0,2014-09-01T00:00,2014-10-01T00:00,0,COMPLETED,Lending Club
10148122,12000,36,0.0762,373.94,A,2013-12-01T00:00,debt_consolidation,0,12000,1397.54,0,0,2016-06-01T00:00,2016-07-01T00:00,0,COMPLETED,Lending Club
10119623,12000,36,0.1199,398.52,B,2013-12-01T00:00,debt_consolidation,0,12000,2346.48,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10159498,12000,36,0.0662,368.45,A,2013-12-01T00:00,debt_consolidation,0,12000,1263.95,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10119590,11500,60,0.229,323.54,E,2013-12-01T00:00,debt_consolidation,0,11500,7286.25,0,0,2017-09-01T00:00,2017-10-01T00:00,0,COMPLETED,Lending Club
10159548,15000,36,0.089,476.3,A,2013-12-01T00:00,debt_consolidation,0,15000,2146.73,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10127816,24000,36,0.1353,814.8,B,2013-12-01T00:00,credit_card,0,24000,4652.21,0,0,2015-12-01T00:00,2016-01-01T00:00,0,COMPLETED,Lending Club
10139658,12000,36,0.1353,407.4,B,2013-12-01T00:00,debt_consolidation,0,12000,1359.78,0,0,2015-09-01T00:00,2015-10-01T00:00,0,COMPLETED,Lending Club
10129477,14000,36,0.1285,470.71,B,2013-12-01T00:00,debt_consolidation,0,14000,2945.32,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10129506,20800,36,0.1353,706.16,B,2013-12-01T00:00,debt_consolidation,0,20800,3126.64,0,0,2015-05-01T00:00,2015-06-01T00:00,0,COMPLETED,Lending Club
10159611,10000,36,0.0967,321.13,B,2013-12-01T00:00,debt_consolidation,0,10000,1560.46,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10224583,11100,36,0.1498,384.68,C,2013-12-01T00:00,other,0,11100,2475.64,0,0,2016-02-01T00:00,2016-03-01T00:00,0,COMPLETED,Lending Club
10129454,12000,36,0.1099,392.81,B,2013-12-01T00:00,debt_consolidation,0,12000,1988.61,0,0,2016-04-01T00:00,2016-05-01T00:00,0,COMPLETED,Lending Club
10179520,3000,36,0.1285,100.87,B,2013-12-01T00:00,debt_consolidation,0,3000,181.55,0,0,2014-07-01T00:00,2014-08-01T00:00,0,COMPLETED,Lending Club
10129403,7550,36,0.1624,266.34,C,2013-12-01T00:00,debt_consolidation,0,7550,2050.45,0,0,2016-12-01T00:00,2017-01-01T00:00,0,COMPLETED,Lending Club
10149577,28000,36,0.0762,872.52,A,2013-12-01T00:00,debt_consolidation,0,28000,1150.98,0,0,2014-08-01T00:00,2014-09-01T00:00,0,COMPLETED,Lending Club
10149526,27600,60,0.1997,730.78,D,2013-12-01T00:00,debt_consolidation,0,14738.17,13762.25,0,1802.67,2017-04-01T00:00,2017-05-01T00:00,486,CHARGEOFF,Lending Club
10149566,8000,36,0.1099,261.88,B,2013-12-01T00:00,debt_consolidation,0,3854.81,1120.22,15,632.47,2015-10-01T00:00,2015-11-01T00:00,1033,CHARGEOFF,Lending Club
10148818,15000,36,0.1447,516.1,C,2013-12-01T00:00,debt_consolidation,0,15000,699.05,0,0,2014-05-01T00:00,2014-06-01T00:00,0,COMPLETED,Lending Club
10159584,9750,36,0.1398,333.14,C,2013-12-01T00:00,debt_consolidation,0,9750,2239.98,0,0,2016-12-01T00:00,2017-01-01T00:00,0,COMPLETED,Lending Club
9787553,10075,36,0.205,377,E,2013-12-01T00:00,home_improvement,0,10075,172.52,0,0,2014-02-01T00:00,2014-03-01T00:00,0,COMPLETED,Lending Club
10099593,30000,60,0.1825,765.89,D,2013-12-01T00:00,debt_consolidation,0,30000,14103.4,0,0,2017-06-01T00:00,2017-07-01T00:00,0,COMPLETED,Lending Club
8966623,6000,36,0.1099,196.41,B,2013-12-01T00:00,credit_card,0,6000,630.88,0,0,2015-02-01T00:00,2015-03-01T00:00,0,COMPLETED,Lending Club
10109647,6000,36,0.0603,182.62,A,2013-12-01T00:00,debt_consolidation,0,6000,222.57,0,0,2015-01-01T00:00,2015-02-01T00:00,0,COMPLETED,Lending Club
10109602,4500,36,0.1922,165.46,D,2013-12-01T00:00,other,0,4500,1455.88,0,0,2016-12-01T00:00,2017-01-01T00:00,0,COMPLETED,Lending Club
8617375,10000,60,0.1398,232.58,C,2013-12-01T00:00,debt_consolidation,0,1619.02,1404.23,0,1045.05,2015-02-01T00:00,2015-03-01T00:00,1278,CHARGEOFF,Lending Club
9857559,20000,60,0.1199,444.79,B,2013-12-01T00:00,debt_consolidation,0,20000,5546.56,0,0,2017-01-01T00:00,2017-02-01T00:00,0,COMPLETED,Lending Club
10119562,31825,60,0.205,852.05,E,2013-12-01T00:00,debt_consolidation,0,31825,16563.69,0,0,2017-04-01T00:00,2017-05-01T00:00,0,COMPLETED,Lending Club
10089642,7200,36,0.1099,235.69,B,2013-12-01T00:00,debt_consolidation,0,7200,874.68,0,0,2015-05-01T00:00,2015-06-01T00:00,0,COMPLETED,Lending Club
10079457,10000,36,0.1199,332.1,B,2013-12-01T00:00,debt_consolidation,0,10000,1719.93,0,0,2015-12-01T00:00,2016-01-01T00:00,0,COMPLETED,Lending Club
10119128,30000,60,0.1447,705.38,C,2013-12-01T00:00,credit_card,4059.17,25940.83,12149.69,0,0,2018-07-01T00:00,2018-08-01T00:00,29,CURRENT,Lending Club
10075147,6000,36,0.0967,192.68,B,2013-12-01T00:00,credit_card,0,6000,48.35,0,0,2014-02-01T00:00,2014-03-01T00:00,0,COMPLETED,Lending Club
10119540,21000,36,0.0762,654.39,A,2013-12-01T00:00,debt_consolidation,0,21000,2486.71,32.72,0,2016-07-01T00:00,2016-08-01T00:00,0,COMPLETED,Lending Club
10109703,8325,36,0.1561,291.09,C,2013-12-01T00:00,debt_consolidation,0,8325,2122.86,0,0,2016-09-01T00:00,2016-10-01T00:00,0,COMPLETED,Lending Club
10079471,16000,36,0.079,500.65,A,2013-12-01T00:00,debt_consolidation,0,16000,1711.55,0,0,2016-01-01T00:00,2016-02-01T00:00,0,COMPLETED,Lending Club
10117493,12000,60,0.1624,293.35,C,2013-12-01T00:00,debt_consolidation,0,12000,5472.2,0,0,2018-05-01T00:00,2018-06-01T00:00,0,COMPLETED,Lending Club
10099585,18450,36,0.1398,630.4,C,2013-12-01T00:00,debt_consolidation,0,13093,3927.3,0,531.19,2016-04-01T00:00,2016-05-01T00:00,851,CHARGEOFF,Lending Club
10109689,22875,36,0.1398,781.6,C,2013-12-01T00:00,home_improvement,0,22875,1736.96,0,0,2014-08-01T00:00,2014-09-01T00:00,0,COMPLETED,Lending Club
